Price,LastUpdated
65.54,3/26/25 11:10
65.493,3/26/25 11:15
65.42,3/26/25 11:20
65.32,3/26/25 11:25
65.37,3/26/25 11:30
65.455,3/26/25 11:35
65.43,3/26/25 11:40
65.38,3/26/25 11:45
65.42,3/26/25 11:50
65.32,3/26/25 11:55
65.21,3/26/25 12:00
65.188,3/26/25 12:05
65.1394,3/26/25 12:10
65.19,3/26/25 12:15
65.175,3/26/25 12:20
65.2,3/26/25 12:25
65.21,3/26/25 12:30
65.415,3/26/25 12:35
65.5,3/26/25 12:40
65.58,3/26/25 12:45
65.49,3/26/25 12:50
65.42,3/26/25 12:55
65.4185,3/26/25 13:00
65.4282,3/26/25 13:05
65.46,3/26/25 13:10
65.295,3/26/25 13:15
65.3105,3/26/25 13:20
65.19,3/26/25 13:25
65.11,3/26/25 13:30
64.985,3/26/25 13:35
65.07,3/26/25 13:40
65.06,3/26/25 13:45
65.02,3/26/25 13:50
65.045,3/26/25 13:55
65.09,3/26/25 14:00
65.09,3/26/25 14:05
65.0799,3/26/25 14:10
65.06,3/26/25 14:15
65.0328,3/26/25 14:20
65.08,3/26/25 14:25
65.005,3/26/25 14:30
65.05,3/26/25 14:35
65.04,3/26/25 14:40
64.995,3/26/25 14:45
64.955,3/26/25 14:50
64.895,3/26/25 14:55
64.96,3/26/25 15:00
64.98,3/26/25 15:05
64.99,3/26/25 15:10
64.96,3/26/25 15:15
64.945,3/26/25 15:20
64.835,3/26/25 15:25
64.8,3/26/25 15:30
64.8705,3/26/25 15:35
64.885,3/26/25 15:40
64.96,3/26/25 15:45
64.91,3/26/25 15:50
64.86,3/26/25 15:55
64.13,3/26/25 16:00
64.87,3/26/25 16:05
64.91,3/26/25 16:10
64.5,3/26/25 16:15
64.87,3/26/25 16:25
65,3/26/25 16:35
64.87,3/26/25 17:10
65.12,3/26/25 17:20
65,3/26/25 17:50
65,3/26/25 17:55
65.8499,3/26/25 18:00
64.87,3/26/25 18:30
64.87,3/26/25 19:00
64.87,3/27/25 4:00
64.82,3/27/25 4:10
64.85,3/27/25 4:20
64.91,3/27/25 4:45
64.88,3/27/25 5:45
65,3/27/25 5:55
65.01,3/27/25 6:20
65.14,3/27/25 6:50
65.11,3/27/25 7:15
65.07,3/27/25 7:25
65.2,3/27/25 8:00
65.16,3/27/25 8:05
65.2,3/27/25 8:10
65.23,3/27/25 8:15
65.24,3/27/25 8:20
65.24,3/27/25 8:30
65.29,3/27/25 8:35
65.27,3/27/25 9:00
65.21,3/27/25 9:10
65.19,3/27/25 9:15
